# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.340     2184.926
       1.001        6.000       52.340     2192.930
       2.002       19.000       52.340     2192.930
       3.004       19.000       52.340     2192.930
       4.004       22.000       52.340     2192.930
       5.005       20.000       52.340     2192.930
       6.006       19.000       52.340     2192.930
       7.007       20.000       52.340     2192.930
       8.008       19.000       52.340     2192.930
       9.009       21.000       52.645     2192.930
      10.010       21.000       52.645     2192.930
      11.012       20.000       52.645     2192.930
      12.012       20.000       52.645     2192.930
      13.013       19.000       52.645     2192.930
      14.014       21.000       52.645     2192.930
      15.015       20.000       52.645     2192.930
      16.016       20.000       52.645     2192.930
      17.017       21.000       52.645     2192.930
      18.019       21.000       52.645     2192.930
      19.020       19.000       52.645     2192.930
      20.021       22.000       52.645     2192.930
      21.022       20.000       52.645     2192.930
      22.023       20.000       52.645     2192.930
      23.024       21.000       52.645     2192.930
      24.025       21.000       52.645     2192.930
      25.026       20.000       52.645     2192.930
      26.028       21.000       52.645     2192.930
      27.028       20.000       52.645     2192.930
      28.028       21.000       52.645     2192.930
      29.030       20.000       52.645     2192.930
      30.031       19.000       52.645     2192.930
      31.032       22.000       52.645     2192.930
      32.033       20.000       52.645     2192.930
      33.034       20.000       52.645     2192.930
      34.036       21.000       52.645     2192.930
      35.036       20.000       52.645     2192.930
      36.037       21.000       52.645     2192.930
      37.038       21.000       52.645     2192.930
      38.040       19.000       52.645     2192.930
      39.040       20.000       52.645     2192.930
      40.041       22.000       52.645     2192.930
      41.042       19.000       52.645     2192.930
      42.044       21.000       52.645     2192.930
      43.045       19.000       52.645     2192.930
      44.046       22.000       52.645     2192.930
      45.047       19.000       52.645     2192.930
      46.048       21.000       52.645     2192.930
      47.049       20.000       52.645     2192.930
      48.050       21.000       52.645     2192.930
      49.051       21.000       52.645     2192.930
      50.053       20.000       52.645     2192.930
      51.054       20.000       52.645     2192.930
      52.055       21.000       52.645     2192.930
      53.056       21.000       52.645     2192.930
      54.057       19.000       52.645     2192.930
      55.058       21.000       52.645     2192.930
      56.060       21.000       52.645     2192.930
      57.060       20.000       52.645     2192.930
      58.060       20.000       52.645     2192.930
      59.062       21.000       52.645     2192.930
      60.062       20.000       52.645     2192.930
