# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.691     2197.422
       1.001        5.000       52.691     2197.422
       2.002       18.000       52.691     2197.422
       3.004       18.000       52.691     2197.422
       4.005       18.000       52.691     2197.422
       5.006       18.000       52.691     2197.422
       6.006       16.000       52.691     2197.422
       7.007       18.000       52.691     2197.422
       8.008       16.000       52.691     2197.422
       9.009       17.000       52.691     2197.422
      10.010       17.000       52.691     2197.422
      11.012       17.000       52.691     2197.422
      12.013       18.000       52.691     2197.422
      13.014       17.000       52.691     2197.422
      14.015       18.000       52.691     2197.422
      15.016       15.000       52.691     2197.422
      16.017       18.000       52.691     2197.422
      17.018       16.000       52.691     2197.422
      18.020       17.000       52.691     2197.422
      19.021       16.000       52.691     2197.422
      20.022       17.000       52.691     2197.422
      21.023       16.000       52.691     2197.422
      22.024       15.000       52.691     2197.422
      23.025       17.000       52.691     2197.422
      24.026       17.000       52.691     2197.422
      25.027       16.000       52.691     2197.422
      26.028       17.000       52.691     2197.422
      27.028       17.000       52.691     2197.422
      28.029       17.000       52.691     2197.422
      29.030       17.000       52.691     2197.422
      30.032       17.000       52.691     2197.422
      31.033       17.000       52.691     2197.422
      32.034       18.000       52.691     2197.422
      33.035       18.000       52.691     2197.422
      34.036       14.000       52.691     2197.422
      35.037       18.000       52.691     2197.422
      36.038       17.000       52.691     2197.422
      37.039       18.000       52.691     2197.422
      38.045       15.900       52.691     2197.422
      39.046       17.000       52.691     2197.422
      40.049       16.900       52.691     2197.422
      41.051       18.000       52.691     2197.422
      42.052       17.000       52.691     2197.422
      43.052       17.000       52.691     2197.422
      44.053       16.000       52.691     2197.422
      45.055       17.000       52.691     2197.422
      46.056       17.000       52.691     2197.422
      47.057       17.000       52.691     2197.422
      48.058       17.000       52.691     2197.422
      49.059       18.000       52.691     2197.422
      50.061       16.000       52.691     2197.422
      51.062       16.000       52.691     2197.422
      52.063       15.000       52.691     2197.422
      53.064       15.000       52.949     2197.422
      54.066       16.000       52.949     2197.422
      55.067       16.000       52.949     2197.422
      56.068       17.000       52.949     2197.422
      57.068       17.000       52.949     2197.422
      58.069       17.000       52.949     2197.422
      59.071       17.000       52.949     2197.422
      60.072       16.000       52.949     2197.422
