# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       49.023     2189.418
       1.001        6.000       49.387     2197.422
       2.002       21.000       49.387     2197.422
       3.003       20.000       49.387     2197.422
       4.004       21.000       49.387     2197.422
       5.005       21.000       49.387     2197.422
       6.006       21.000       49.387     2197.422
       7.008       21.000       49.387     2197.422
       8.009       21.000       49.387     2197.422
       9.010       20.000       49.387     2197.422
      10.011       22.000       49.387     2197.422
      11.012       22.000       49.387     2197.422
      12.013       21.000       49.387     2197.422
      13.014       21.000       49.387     2197.422
      14.015       21.000       49.387     2197.422
      15.016       20.000       49.387     2197.422
      16.018       20.000       49.387     2197.422
      17.018       21.000       49.387     2197.422
      18.019       19.000       49.387     2197.422
      19.020       19.000       49.387     2197.422
      20.020       20.000       49.387     2197.422
      21.021       19.000       49.387     2197.422
      22.022       20.000       49.387     2197.422
      23.023       23.000       49.387     2197.422
      24.024       21.000       49.387     2197.422
      25.025       21.000       49.387     2197.422
      26.026       21.000       49.387     2197.422
      27.028       19.000       49.387     2197.422
      28.029       21.000       49.387     2197.422
      29.030       21.000       49.387     2197.422
      30.030       21.000       49.387     2197.422
      31.031       21.000       49.387     2197.422
      32.031       21.000       49.387     2197.422
      33.032       22.000       49.387     2197.422
      34.033       21.000       49.387     2197.422
      35.034       22.000       49.387     2197.422
      36.035       20.000       49.387     2197.422
      37.036       20.000       49.387     2197.422
      38.037       21.000       49.387     2197.422
      39.038       22.000       49.387     2197.422
      40.039       21.000       49.387     2197.422
      41.039       23.000       49.387     2197.422
      42.041       20.000       49.387     2197.422
      43.042       21.000       49.387     2197.422
      44.042       22.000       49.387     2197.422
      45.043       21.000       49.387     2197.422
      46.044       21.000       49.387     2197.422
      47.044       22.000       49.387     2197.422
      48.045       21.000       49.387     2197.422
      49.046       22.000       49.387     2197.422
      50.047       21.000       49.387     2197.422
      51.049       21.000       49.387     2197.422
      52.050       22.000       49.387     2197.422
      53.051       21.000       49.387     2197.422
      54.052       22.000       49.387     2197.422
      55.054       21.000       49.387     2197.422
      56.054       21.000       49.387     2197.422
      57.055       22.000       49.387     2197.422
      58.056       21.000       49.387     2197.422
      59.057       21.000       49.387     2197.422
      60.058       22.000       49.387     2197.422
